# x, y, z, x_dot, y_dot, z_dot, phi, theta, psi, p, q, r
0.00005,0.00041,0.06893,0.00542,0.00339,0.70897,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00006,0.00042,0.07174,0.00558,0.00308,0.72344,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00009,0.00044,0.07461,0.00476,0.00316,0.73792,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00011,0.00045,0.07753,0.00396,0.00389,0.75206,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00012,0.00046,0.08051,0.00337,0.00468,0.76576,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00014,0.00048,0.08354,0.00338,0.00526,0.77948,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00015,0.00050,0.08664,0.00318,0.00597,0.79389,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00017,0.00052,0.08978,0.00245,0.00645,0.80813,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00018,0.00055,0.09299,0.00199,0.00704,0.82214,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00019,0.00057,0.09625,0.00191,0.00803,0.83596,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00019,0.00061,0.09956,0.00190,0.00813,0.84965,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00020,0.00064,0.10293,0.00225,0.00763,0.86363,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00021,0.00067,0.10636,0.00251,0.00828,0.87830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00022,0.00070,0.10984,0.00292,0.00887,0.89266,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00023,0.00073,0.11339,0.00368,0.00842,0.90631,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00024,0.00077,0.11698,0.00328,0.00826,0.92043,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00026,0.00080,0.12064,0.00283,0.00808,0.93482,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00027,0.00084,0.12435,0.00295,0.00779,0.94925,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00028,0.00087,0.12812,0.00274,0.00719,0.96350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00029,0.00090,0.13194,0.00330,0.00656,0.97754,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00030,0.00092,0.13582,0.00343,0.00692,0.99217,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00032,0.00095,0.13976,0.00286,0.00715,1.00691,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00033,0.00098,0.14376,0.00284,0.00730,1.02092,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00034,0.00101,0.14782,0.00265,0.00776,1.03497,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00035,0.00104,0.15193,0.00229,0.00799,1.04940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
