t,x,y,z,vx,vy,vz
0.0,18.324679225358985,0.4289940989143282,-2.008294006212285,0.05192032600315393,2.038466067089359,0.3047260293396258
0.2,17.566598055843183,-0.07518921056275268,-0.05869669783157799,0.0030703648105657524,2.267039807571597,0.04111483828324489
0.4,19.475492364252315,5.016667793072037,0.2743361820765394,-0.22887582728537934,2.050713121261815,0.07479606949572701
0.6,22.359884847270095,6.8355166934235125,-0.9331910206158847,0.025881042586343245,2.1135466977720356,0.17479695705667886
0.8,20.30131795227989,3.7159907884166903,0.6386919688433997,-0.019885485181792645,2.1163090502765693,0.1856203110564906
1.0,19.197661609378514,7.949386646325957,3.4116937704219468,-0.2970904516439951,2.1385029068420254,0.2570849718802711
1.2,14.58807697528236,5.900026546069,4.498227995582666,-0.1943143291678148,2.1584969145417925,0.3479161212544605
1.4000000000000001,22.773828341883004,4.798318490192361,4.455445427068597,-0.388752805482764,2.2956050676841846,0.3805038023140036
1.6,21.926487857465162,4.782183959930156,0.9931090457518011,-0.17755457747315667,2.044445311115014,0.12639180411620204
1.8,16.966733755594856,0.31580319202292984,2.668636495587616,-0.38195935542152226,2.0856423311691574,0.28045335214736655
2.0,21.45058666180453,4.051450272534397,-1.3281900781419713,-0.4518728428808427,2.1407623681987933,0.15658815133889115
2.2,16.646530534252577,3.66153651324946,2.6439533821458174,-0.4734820249620835,2.1113393297779806,0.19977252802786757
2.4,24.967655849827857,4.912519484627087,1.6828974544052546,-0.5884388349603875,1.9384020097763204,0.29004973651898985
2.6,22.078112259628824,5.218847761310184,1.9579245515266281,-0.5135981073443903,2.1559757722550494,0.29366538770471773
2.8000000000000003,21.201348784174225,8.535702794395377,1.2421269506288446,-0.633506708469544,2.105673389987885,0.2096907954332953
3.0,17.819651998448606,6.6905956666724276,-3.0676967308620573,-0.6585600078862655,2.2568858200611017,0.40403822718592164
3.2,19.621792532291515,8.744552060242645,5.48789288002288,-0.6237325369092903,1.8929027304288684,0.11629587035019587
3.4,21.05725537488023,0.5563332934997911,4.786286556440935,-0.7842394355546679,2.0444663059242636,0.19694827408884708
3.6,22.26290299989837,5.060902721599429,0.36754303729741045,-0.8022215778572823,2.1539507654134034,0.10970419956697516
3.8000000000000003,22.03493419558304,7.889213835282546,-0.03989757254939175,-0.6252434089560285,2.0478265698767695,0.21093591137994983
4.0,16.392264497803083,14.72121206907352,3.4549828441794057,-0.9297566622543106,2.073752194089242,0.3374410458050286
4.2,17.400036107892518,12.08714443501183,1.315445851213813,-0.8681324465405625,2.019839743508798,0.14332280877104484
4.4,20.942759827513495,10.345784644549633,0.7464553617507235,-0.7807399275008539,1.7811418532615964,0.2255632364105328
4.6000000000000005,18.969824615134073,10.61272888515189,3.644356766979723,-1.2221902084319078,1.7390764959657583,0.013571464446458181
4.8,,,,,,
5.0,12.550467675232348,12.191632261103408,1.0801558274069325,-1.065132363988556,1.8010317421658197,-0.010592787004662194
5.2,12.879228870048893,12.087277776008317,2.8709147284189207,-1.2192605303612039,1.7063674260743433,0.197229757284805
5.4,14.87270459240548,7.751725385715367,5.299210814321853,-0.8585326517103222,1.9143124099546647,0.053457402265320544
5.6000000000000005,17.923817789489842,9.090380051614497,3.5000878782171565,-1.1173909883602127,1.7443065559895898,0.06685958948919282
5.8,15.372436229946565,12.776189139952798,2.6597611498868416,-1.1843319688517624,1.7475280909157636,-0.10161513272396816
6.0,9.769199142071352,12.02641932595522,1.4857297597877452,-1.292980615915409,1.6901483743129804,0.3031577345896912
6.2,14.079789117924054,8.931926410439708,1.382535041202937,-1.2025606785078007,1.7784462624127035,0.045296367137143724
6.4,14.79202569783939,14.05148093840222,1.5842565441965368,-1.1570292842711738,1.6697912723114434,0.13040042307557045
6.6000000000000005,15.631724488532374,13.56639277952242,0.8047933408237866,-1.3175016642664803,1.6689640901493896,-0.00832555389033355
6.8,12.649012247963434,18.602004405657567,1.7842601218593073,-1.1855465440733344,1.5372809731159882,-0.06427689049298496
7.0,14.33790106244734,16.916292176310503,6.706866674318837,-1.3853898103564979,1.7437513662061033,-0.04642023985407264
7.2,18.193623847662597,12.715105235781479,2.864241911984742,-1.4518207419467664,1.5523735770516935,-0.11925058053567096
7.4,15.750803616903546,19.585351918540752,3.050140012207904,-1.602926311368698,1.6089079194536433,0.011937962597292281
7.6000000000000005,15.15478827362566,11.756656485701226,-1.1386603925588963,-1.6024191568379553,1.4340075524819418,-0.06031799547389785
7.8,17.076917000368617,15.443917738356843,3.114255603719072,-1.525955435025299,1.453369542977385,-0.2279861415520182
8.0,16.066609773045215,16.993662469835737,3.7935247257443967,-1.4230374067781477,1.4088060920314527,-0.08572888786670835
8.2,14.658222805817289,15.486623540027104,2.5013269144179278,-1.4970137091868767,1.2650719770438088,-0.062024653808528146
8.4,15.038585920339415,13.064253439168155,-0.6614755083000101,-1.7354145435552881,1.4094565017192169,0.08011148408440211
8.6,12.627197997298916,16.046701551339794,3.758307134665503,-1.6029553836629866,1.282021796310792,-0.17539774826230017
8.8,11.536234215955862,13.985815902539791,3.4307176126343775,-1.7139861768874725,1.2894468131929124,-0.11377238504691284
9.0,15.122187219516498,17.092936637231812,-1.7328000105058505,-1.7398938221652007,1.1188375527982224,-0.1390539640515289
9.200000000000001,12.103147657685817,11.594528259145388,1.7718628572451753,-1.8664661358597512,1.2229598530141306,-0.06802373436489276
9.4,6.043403563731901,15.583103961630341,3.1213555461972886,-1.7350153488148805,1.122959726212759,-0.14022773394779486
9.6,10.002959678878437,19.758382458925148,2.3573324458858975,-1.798147746000617,1.079602601883343,-0.07385600523498087
9.8,7.551436177075272,19.35895680857869,3.495491943915817,-1.608172426139616,1.066034282469105,-0.15622456483693398
10.0,13.184556714973997,19.094841104093586,2.9067729906375543,-1.838726186726844,0.9979697186937581,-0.15434426580660576
10.200000000000001,7.1526917121168605,19.55911065100805,1.3225705800132066,-1.8937677655134864,1.0774826015399759,-0.04501221881516693
10.4,11.281074213162931,23.29941496804664,4.659191979778372,-1.7658235201358177,1.0817333436812335,-0.15598926769169333
10.6,9.605328870088798,18.097584886565617,0.5487589755031279,-2.0327446333387336,1.1281986832066462,-0.35237773278070317
10.8,,,,,,
11.0,8.939491285921564,16.980259480163724,2.038927047376864,-2.0090118401283217,0.9650286609205002,-0.11689568655709752
11.200000000000001,10.865474895324812,18.82902647673272,-1.2864660757843154,-1.7796045272044227,0.8217686440306217,-0.03060927732041807
11.4,5.285534524296881,20.322304103567987,3.2517870519962457,-2.055880596146432,0.8695056691009238,-0.16617706117120692
