t,mx,my,mz
0.0,5.251691742792351,-22.11403157038089,-41.759542411386114
0.02,5.313272952972817,-21.915955630981497,-42.723524080593535
0.04,5.2297518968992405,-21.897958587860852,-42.21219461930075
0.06,5.191958704364627,-22.05533530873009,-42.220185584979475
0.08,5.046285551274385,-22.237123264652144,-41.81907996552308
0.1,5.016026454608637,-22.28039634236882,-42.45372719449241
0.12,4.899519842128642,-22.300975775372432,-41.939579552861865
0.14,4.944902872935462,-22.5121591010634,-41.75782714929079
0.16,4.8858052718046885,-22.042086060950673,-41.23347412788393
0.18,4.817744437182096,-21.882386494475227,-41.80155702942379
0.2,4.900456187633212,-22.03620851111508,-42.39624459392363
0.22,4.905291343778356,-21.81644968905863,-41.53620858431964
0.24,4.806889585997468,-22.40006301414228,-41.83019141423593
0.26,4.636888966947855,-22.389683292954906,-42.45647028048317
0.28,4.653122511063067,-21.925967976922266,-42.059313829261065
0.3,4.549534968150099,-22.056305366144798,-42.10552174378825
0.32,4.604265884932297,-22.253705391596927,-41.773264629216996
0.34,4.5278450780838115,-22.02419006562553,-42.01126701575405
0.36,4.540256802730267,-22.469046765486897,-42.196320081293386
0.38,4.402449463377886,-22.56729210503063,-41.580242381495715
0.4,4.3866176331244455,-22.487502007548667,-41.71775058717768
0.42,4.2985411725818095,-21.765625865873133,-41.52685852983891
0.44,4.233464720558983,-22.158477413761617,-42.42483330706529
0.46,4.184249558641241,-22.328084464021916,-42.04905453864939
0.48,4.1883523704558385,-22.12483942845506,-41.69617827191201
0.5,4.105119086478926,-21.789142268420072,-41.90093875325732
0.52,4.096773116572363,-22.29534743676258,-42.236301375815486
0.54,4.090484307272293,-22.198103415086287,-41.71104236716835
0.56,3.9468426809612938,-22.455863907768606,-42.142022969767496
0.58,3.9680701851817264,-22.042612878755776,-42.141254884780125
0.6,3.8809196943022686,-21.966190440395774,-42.21887588758207
0.62,3.818015094000439,-22.21698453385488,-41.940766033498804
0.64,3.808060708627803,-22.399014004009285,-42.2162652718277
0.66,3.731198657951601,-22.40474103145308,-42.12106903711079
0.68,3.7188323458469017,-22.76228086484458,-41.58840873899831
0.7000000000000001,3.640691140421627,-22.514902575830142,-41.75881106954561
0.72,3.50961467143239,-22.51999566892676,-42.112676877697574
0.74,3.57690197566659,-22.164699910177827,-41.148933482567855
0.76,3.5560501290680384,-21.789208328515972,-41.775194103590316
0.78,3.470968463278946,-22.19347284788271,-42.66727042944877
0.8,3.372343155930953,-22.33853566303574,-41.95634979359529
0.8200000000000001,3.362610403365668,-22.57850155824314,-41.98754972609279
0.84,3.3244939332399377,-22.072335626743556,-42.030619228448764
0.86,3.315792914226468,-22.5655768199677,-42.253635386874414
0.88,3.2249599231887767,-22.476435928301917,-42.1475558467073
