t,pressure_hPa,z_true
0.0,1012.8255097467585,0.0
0.04,1013.2344727592489,0.016754964829541225
0.08,1011.7939572855544,0.03350875373796272
0.12,1013.3555160361284,0.05026019088667495
0.16,1014.6610589328928,0.06700810060214298
0.2,1013.3113320070196,0.08375130745839926
0.24,1013.3707425323541,0.1004886363595391
0.28,1012.9401412576647,0.11721891262219299
0.32,1013.3659377107007,0.13394096205796976
0.36,1013.2268027477515,0.15065361105586542
0.4,1013.78140834474,0.167355686664631
0.44,1012.8382827372418,0.1840460166750943
0.48,1012.7297993547265,0.20072342970242976
0.52,1012.4965478481662,0.2173867552683702
0.56,1013.358052739355,0.2340348238833549
0.6,1012.9713984191471,0.25066646712860846
0.64,1013.1292798204175,0.2672805177381446
0.68,1012.7904049400585,0.28387580968068876
0.72,1013.3711021788151,0.30045117824151407
0.76,1013.2963332066348,0.3170054601041854
0.8,1012.8850909344882,0.33353749343220457
0.84,1012.8531528988109,0.35004611795055207
0.88,1013.5639096042047,0.36653017502711954
0.92,1013.3176692582257,0.382988507754026
0.96,1013.3274961462856,0.399419961028814
1.0,1013.1715716208772,0.41582338163551863
1.04,1013.1637743487337,0.4321976183256041
1.08,1013.7426756227961,0.44854152189876234
1.12,1012.4695433688911,0.46485394528356794
1.16,1012.51371803491,0.4811337436179833
1.2,1012.3728273928896,0.4973797743297095
1.24,1012.3978550530242,0.5135908972163755
1.28,1013.7408472890452,0.5297659745255614
1.32,1013.0691438293059,0.5459038710346504
1.36,1014.0612844558974,0.562003454130502
1.4000000000000001,1013.3014099138102,0.5780635938889432
1.44,1013.7372976864018,0.5940831631540697
1.48,1013.6826121157276,0.610061037617355
1.52,1012.386567026918,0.6259960958965564
1.56,1013.5185714233737,0.641887219614419
1.6,1013.5830692830393,0.6577332934771665
1.6400000000000001,1012.2080669939162,0.6735332053527766
1.68,1013.2948880807213,0.6892858463490341
1.72,1014.0659189424465,0.7049901108913569
1.76,1013.0953561761883,0.7206448968003893
1.8,1013.7614762193216,0.7362491053693558
1.84,1013.2773215387981,0.7518016414411735
1.8800000000000001,1013.2658049571352,0.7673014134853126
1.92,1012.8560231155932,0.7827473336744047
1.96,1012.7394535069205,0.7981383179605903
2.0,1013.4891478623306,0.8134732861516003
2.04,1013.0185651396677,0.8287511619865683
2.08,1013.255320705542,0.8439708732115655
2.12,1013.0234658417257,0.8591313516548565
2.16,1013.5166932785153,0.8742315333018658
2.2,1013.5302088571685,0.889270358369855
2.24,1011.8355325223164,0.9042467713823015
2.2800000000000002,1012.6403518042159,0.9191597212429757
2.32,1013.308411190145,0.9340081613097104
2.36,1012.5193056481486,0.9487910494678584
2.4,1012.8520080459454,0.9635073482034304
2.44,1013.3225131907557,0.9781560246759124
2.48,1012.9744197685455,0.9927360507907537
2.52,1013.3069463826641,1.0072464032715216
2.56,1012.8783472593243,1.0216860637317196
2.6,1012.98957133391,1.0360540187462604
2.64,1013.094511877799,1.0503492599225914
2.68,1012.1877641438375,1.064570783971468
2.72,1012.9296697944748,1.0787175927773667
2.7600000000000002,1012.4537980972523,1.0927886934685382
2.8000000000000003,1013.2361179161738,1.1067830984866882
2.84,1013.0114110515024,1.1206998256562892
2.88,1013.0475668595006,1.1345378982535128
2.92,1013.4395932439191,1.1482963450747792
2.96,1012.8206039918666,1.1619742005049194
3.0,1013.0808960170091,1.1755705045849463
3.04,1012.4146712181365,1.1890843030794265
3.08,1013.7633069130858,1.202514647543453
3.12,1013.755629572467,1.2158605953892108
3.16,1012.5697367099125,1.229121209952129
3.2,1013.5794981271565,1.2422955605566208
3.24,1011.9779364883459,1.255382722581401
3.2800000000000002,1013.3690114290922,1.268381777524379
3.3200000000000003,1012.3122517322115,1.2812918130671231
3.36,1012.8678523514303,1.2941119231388885
3.4,1012.921363816874,1.3068412079802108
3.44,1013.1209064509352,1.319478774206052
3.48,1014.1483160553097,1.3320237348685031
3.52,1012.6734351590231,1.344475209519032
3.56,1012.8128025239565,1.3568323242702764
3.6,1012.9749340944438,1.3690942118573772
3.64,1012.572362429106,1.3812600116988458
3.68,1013.6097482666069,1.3933288699569615
3.72,1013.2956945910673,1.4052999395976984
3.7600000000000002,1013.0533588583413,1.4171723804501721
3.8000000000000003,1013.6460648345721,1.4289453592656067
3.84,1013.7451424458095,1.4406180497758136
3.88,1013.164625991999,1.4521896327511838
3.92,1013.0964730224703,1.4636592960581822
3.96,1013.1263645173832,1.4750262347163476
4.0,1012.1520195669548,1.4862896509547883
4.04,1013.1987069959343,1.4974487542681723
4.08,1012.945689766732,1.5085027614722075
4.12,1012.8886153728641,1.5194508967586093
4.16,1012.6417118076478,1.5302923917495483
4.2,1012.5130448705399,1.5410264855515785
4.24,1012.3540364407471,1.5516524248090386
4.28,1014.2107374054327,1.5621694637569263
4.32,1013.0775707242148,1.5725768642732378
4.36,1013.5516397294369,1.5828738959307715
4.4,1013.9393278626618,1.5930598360483925
4.44,1012.7527842546137,1.603133969741753
4.48,1012.6669603227496,1.613095589973465
4.5200000000000005,1013.6243453900692,1.6229439976027218
4.5600000000000005,1012.3432474050873,1.6326785014343679
4.6000000000000005,1013.8028397860378,1.642298418267408
4.64,1013.1974294854479,1.651803072942957
4.68,1012.431454583323,1.6611917983916251
4.72,1012.6670498617196,1.6704639356803344
4.76,1012.6673586408257,1.6796188340585656
4.8,1012.5752959039029,1.68865585100403
4.84,1013.0304433042612,1.6975743522677635
4.88,1012.4071816781835,1.7063737119186406
4.92,1014.0002517142586,1.7150533123873044
4.96,1012.4945576409863,1.72361254450951
5.0,1013.1537465128215,1.7320508075688772
5.04,1012.2940533124723,1.7403675093390514
5.08,1013.1610206105955,1.7485620661252672
5.12,1013.4087350452958,1.7566339028053155
5.16,1012.5479834022065,1.7645824528699066
5.2,1014.4425970064588,1.7724071584624295
5.24,1012.5941933344433,1.7801074704181048
5.28,1012.6933024952223,1.7876828483025275
5.32,1012.4919409759382,1.795132760449595
5.36,1013.3339240697962,1.8024566839988228
5.4,1012.7763986480101,1.8096541049320392
5.44,1012.737046195255,1.8167245181094622
5.48,1013.1296427671672,1.8236674273051516
