t,ax,ay,az,gx,gy,gz,p_x,p_y,p_z
0.9,0.09613356459270925,0.21028428381915218,-9.785584654301399,0.00010502161877605585,-0.0006373139367450043,0.10548202463239592,19.9112392920616,1.8821662663702863,0.3747626291714492
0.91,0.09384895829018437,0.2125069704863868,-9.760486453962514,-0.0025948226711020187,0.0015219377378825707,0.10537945788540652,19.909257374959143,1.9030162315742332,0.3788763994313626
0.92,0.07170357461481233,0.20999346064414318,-9.763088248115473,0.0007970793321771494,-0.0004168125190767048,0.10588420038898261,19.90725362491488,1.9238641098875517,0.382988507754026
0.93,0.0882878681389169,0.1828532830834082,-9.747864312060145,-0.0008447720370023816,-0.0002652174133532381,0.10476508271443974,19.905228044126165,1.9447098784479866,0.3870989361017205
0.9400000000000001,0.0706236325133954,0.22506408282476756,-9.756786734182915,-0.0009259206530484987,2.8976629679856544e-05,0.10622057714013647,19.903180634814305,1.965553514395597,0.39120766644409644
0.9500000000000001,0.05357445958866874,0.17705132037889576,-9.748729696705487,-0.0005451892470423857,-0.0015605649544515416,0.10336601632715163,19.901111399224526,1.9863949948727802,0.3953146807582523
0.96,0.09512805379234399,0.1994230035662703,-9.830649755349949,0.002592888804583032,-0.001959545668575047,0.10387423342746832,19.899020339626002,2.0072342970242976,0.399419961028814
0.97,0.09066568812843978,0.21161450911826984,-9.778619700747146,0.00023948341139654077,-0.0013246100203634585,0.10523904293428808,19.896907458311837,2.0280713979972993,0.40352348924801384
0.98,0.09384503323310471,0.17464917315549716,-9.80054072094839,0.00124281205204691,-0.0015538464632775658,0.10529522456157583,19.894772757599068,2.0489062749413494,0.4076252474157694
0.99,0.043612582264515205,0.21493630777418585,-9.78118423617725,0.0008544728668406274,-0.00034823662183478996,0.10688403062500954,19.892616239828648,2.0697389050084505,0.4117252175397626
1.0,0.06142588221182602,0.19293695451675286,-9.808886871056458,0.002051690203464074,-0.0018167405756176602,0.10482698956675615,19.890437907365467,2.090569265353069,0.41582338163551863
1.01,0.05875111834770534,0.24916743265691235,-9.804630416836552,0.0006121359298143462,6.010080117106785e-05,0.105933722276776,19.888237762598333,2.111397333132162,0.4199197217264848
1.02,0.06430102832684201,0.1789368359735195,-9.78268741346854,0.002882087609111361,-0.0013779855696297943,0.10715926155749829,19.886015807939977,2.1322230855051982,0.42401421984410925
1.03,0.06381184140588675,0.18610577554651975,-9.793950102052712,-0.0009213206366920331,-0.0005409966745246817,0.10475015168843797,19.883772045827044,2.153046499634187,0.42810685802792015
1.04,0.09999191933839227,0.18227509489768912,-9.747556099748115,0.0007218012780773478,-0.0012810225181953852,0.10546439377804305,19.88150647872009,2.173867552683702,0.4321976183256041
1.05,0.07320735067402712,0.18845839220176078,-9.79576091418004,0.0015388634290137645,0.0005145853312108324,0.10612916014070521,19.879219109103595,2.1946862218209056,0.4362864827930851
1.06,0.0792644640761861,0.20042244576418544,-9.778421569924923,0.0001503954081832492,0.00013088484109020394,0.10647676420898758,19.87690993948593,2.2155024842155737,0.4403734334946031
1.07,0.0831868980847406,0.25653197318515203,-9.781258907242513,0.001141488403745638,-0.0004962357082219783,0.10542095749561532,19.87457897239939,2.236316317040123,0.4444584525027928
1.08,0.07190960825908087,0.19162532091300669,-9.770450268334702,-0.0005953558306807709,-0.0005506815274975087,0.10551082790706268,19.872226210400168,2.2571276974696337,0.44854152189876234
1.09,0.0756094280992175,0.18057249813881554,-9.802525985687495,-1.947658231818579e-06,-0.0011889665890658777,0.10533303193747441,19.86985165606835,2.2779366026818755,0.4526226237721718
1.1,0.056608138987407644,0.20399651771678973,-9.805460878386082,0.0009033383109211706,0.0009505722571403014,0.10673856810627738,19.86745531200793,2.2987430098573323,0.4567017402213115
1.11,0.06762343966569138,0.21035659264956294,-9.778098534062348,0.0003065065432812777,-0.00014403229360661221,0.10671042284815997,19.865037180846787,2.319546896179227,0.46077885335318114
