t,mx,my,mz
1.2,2.4861775850474856,-22.707232769546074,-41.87211392931651
1.22,2.442838013790476,-22.1628866697401,-41.92237423167236
1.24,2.407475229697374,-22.149002923509343,-42.03355383016301
1.26,2.300022766227921,-22.65434477900069,-42.03767825813528
1.28,2.3018634927768526,-22.2003123246225,-42.262395750580716
1.3,2.2529886034599778,-22.4137471987915,-41.898228085232894
1.32,2.198299791789969,-22.396449573368997,-42.55858797581859
1.34,2.107381658161984,-22.057412041075967,-42.034713625559284
1.36,2.0613714691853597,-22.26794561206278,-41.977388383380514
1.3800000000000001,2.030684202452625,-22.457730875346712,-40.72946305530018
1.4000000000000001,2.002347066657832,-22.99555411119829,-41.82807268803863
1.42,1.9627741421733886,-22.64440938582171,-41.83937267407242
1.44,1.8944627058744181,-22.229994841418844,-41.74541061220257
1.46,1.860204759949595,-22.849328787503392,-41.77419714572225
1.48,1.823320996670296,-22.30956862438467,-41.40542586559318
1.5,1.7398630705005713,-22.63185865768028,-41.91461230543268
1.52,1.739874972643135,-22.485233742448514,-41.6498693787551
1.54,1.66376838689637,-22.63448071830436,-41.634156224488386
1.56,1.6500884876008506,-22.348726913955137,-41.828287649027956
1.58,1.5609911142934236,-22.38438914504212,-42.54232487054512
1.6,1.5324449578869452,-22.889978690616566,-42.14155333682629
1.62,1.4768581910146756,-22.407240569823713,-41.91982115533269
1.6400000000000001,1.3949566532096487,-22.46957898087093,-42.194017032876616
1.6600000000000001,1.399746380935788,-22.527414064418306,-42.46920649947793
1.68,1.3411017602554718,-22.59250764426087,-42.10993226690366
1.7,1.316922778147304,-22.404912116134046,-41.71407084743142
1.72,1.228318107281524,-22.324663875091833,-41.48640003941954
1.74,1.2326184740085995,-22.72968221740619,-42.142397783336285
1.76,1.1596895262463327,-22.569257088214155,-41.69469018498175
1.78,1.1155697268131572,-22.34563221419636,-42.047303327381485
1.8,1.0651816680968689,-22.5022377291563,-41.64415168326361
1.82,1.0090442538402573,-22.723373438937415,-41.99477327799779
1.84,0.9957104076330766,-22.86051192815936,-41.45774588290917
1.86,0.9260922912127406,-22.16594795128339,-41.75375300463483
1.8800000000000001,0.890125767335486,-22.438674298460686,-42.31664817194238
1.9000000000000001,0.8180957284290772,-22.188148308448834,-41.98692976217961
1.92,0.794763202986239,-22.70967593595907,-42.082878499402156
1.94,0.7389903132597548,-23.02272780634566,-41.80637003304248
1.96,0.6922403195420533,-22.99615862741661,-43.033516121345194
1.98,0.6451440890058946,-22.771059340114974,-42.5630377514098
2.0,0.5737621431846925,-22.54081943082989,-40.92789340781835
2.02,0.5557077324006786,-22.68856435630939,-42.045758837671166
2.04,0.4889715176667421,-22.536167975376287,-42.32187499137457
2.06,0.44697602911474565,-22.593580616200676,-41.74715353045954
2.08,0.39992885630536473,-22.85191270342043,-41.768824854344395
2.1,0.3630913568039843,-22.598973897195144,-41.782264091470594
2.12,0.30836928220809645,-22.087192936920854,-42.853791637784
2.14,0.26246307900587407,-22.195595701605328,-41.78933196404219
2.16,0.21276566930292365,-22.676760622910894,-41.814872973089955
2.18,0.17120067867110086,-22.36642778997447,-42.70110873266056
2.2,0.11219418307515498,-22.6931649725267,-42.06591902664916
2.22,0.07640219402954872,-22.596489302357814,-42.065077099387
2.24,0.027793996708781514,-22.668626418272073,-42.899191245529025
2.2600000000000002,-0.030351156719791734,-22.69275053201839,-41.57571511541017
2.2800000000000002,-0.08248576048476938,-22.088740207677738,-41.59429932407164
2.3000000000000003,-0.10869796027571632,-21.984221621807553,-41.91124398260657
2.32,-0.17908949933796564,-22.727185880414144,-41.99810328011592
2.34,-0.1966528143157777,-22.503426587993143,-42.20582802266935
2.36,-0.2515746989546536,-22.529678749633906,-42.04084045289168
2.38,-0.29787470239288033,-22.284689824505048,-42.56825481746575
2.4,-0.3618863606509696,-21.920672870221324,-42.150128286468785
2.42,-0.4005925134463247,-22.476933190063043,-42.34862050469598
2.44,-0.46035913574230697,-22.552884679792328,-42.15133303992877
2.46,-0.509084252650103,-22.51446916867409,-41.44882157353252
2.48,-0.5491989573774672,-22.297225031350454,-42.01860382168901
2.5,-0.5817046506204304,-22.525482486630235,-41.56581588386159
2.52,-0.6401451967114284,-22.45504822202794,-42.439485932588
2.54,-0.7183999712285624,-22.7512158559404,-41.65569397048304
2.56,-0.7253899010966739,-22.26986347041775,-41.62623180177792
2.58,-0.7804597905619503,-22.68147769841598,-41.620440557285
2.6,-0.84290653165155,-22.199402761878297,-41.61500718770275
2.62,-0.8872202461079034,-22.622475045310306,-42.02514631341063
2.64,-0.9165429604540664,-22.459890188033565,-42.13244914034135
2.66,-0.9586811919323782,-22.3981182973508,-41.32689908970994
2.68,-1.0074915970183804,-22.604599240894824,-42.48917576983552
2.7,-1.0464232000210738,-22.34805714867451,-41.42031389308787
2.72,-1.1116976058764827,-22.650132013451778,-42.08573012271741
2.74,-1.169959448967444,-22.21451689605314,-42.49520313361324
2.7600000000000002,-1.2355960848121683,-22.303642575888315,-42.70735761858312
2.7800000000000002,-1.2531759751277063,-22.357205097973484,-41.744472074995535
2.8000000000000003,-1.3282886135830383,-22.59222139316411,-42.17529836487309
2.82,-1.3472619204613687,-22.5844161732483,-41.43300170889665
2.84,-1.3483518044348044,-22.517192043121504,-41.6079100117945
2.86,-1.4343637088562227,-22.38072698845776,-42.065231562002154
2.88,-1.4865962708132248,-22.35891468123705,-42.293916374957945
2.9,-1.5421154945865028,-22.361528398746646,-42.92738264838282
2.92,-1.5682906406365078,-22.55860077610169,-41.87275305019639
2.94,-1.632521746880677,-22.702543498549854,-42.16322433884817
2.96,-1.690321253214791,-22.694598425023802,-42.14364933319209
2.98,-1.748352781216358,-22.323214364541062,-41.741473786883795
3.0,-1.7933433554703488,-22.482773498757425,-42.19673975059779
3.02,-1.8174572019598403,-22.242822956330556,-42.33591389533551
3.04,-1.8904832004014833,-22.058036014478418,-41.78907863143567
3.06,-1.9405934627691812,-22.43116795975668,-42.04103363704152
3.08,-1.9519100420418662,-22.416173003568442,-42.08339898157069
3.1,-1.986971289492991,-22.491261285861658,-42.777010641252936
3.12,-2.0460804959508017,-22.61470329388491,-42.04226252577179
3.14,-2.1154975886187315,-22.365549849393478,-42.65880784764599
3.16,-2.1751268377018755,-22.552683201994604,-42.41810669603641
3.18,-2.1731017677673905,-22.229790436483643,-42.15360516433838
3.2,-2.249590059633588,-22.077634451367455,-42.0595562229123
3.22,-2.303720404615139,-21.94173818312462,-41.97180953868401
3.24,-2.343354026059379,-21.947590296655164,-41.32044094000348
3.2600000000000002,-2.387349040561749,-22.00601430765857,-42.44382074991493
3.2800000000000002,-2.4645065000345996,-22.397117552427353,-41.948287303802715
3.3000000000000003,-2.4312055041010017,-22.455840479099514,-41.62768380630437
3.3200000000000003,-2.507288502619724,-22.512198229818324,-42.20071528361333
3.34,-2.563289673184113,-22.453513433452756,-42.10002435519289
3.36,-2.6200672946763692,-22.50670915216061,-41.78271275926764
3.38,-2.6649046452118395,-22.73870886467538,-41.70694734925443
3.4,-2.6603362606423673,-22.3293194198584,-41.97680043822329
3.42,-2.7516368584249977,-21.993109603246488,-40.953642973331554
3.44,-2.812889791335761,-22.11525939655227,-41.71672443522957
3.46,-2.820180387952114,-22.29006272099856,-41.8661278143689
3.48,-2.8896208544192987,-22.310734774790504,-42.6607303696033
3.5,-3.0071427692442554,-22.383082996991245,-42.228292281066516
3.52,-3.032185292902051,-22.25322964197733,-41.95763982624849
3.54,-3.0840951248880435,-22.25165383736984,-41.77688047570204
3.56,-3.082855789169683,-22.13211477546504,-41.895221680511405
3.58,-3.182004565163494,-22.00346661272544,-42.06481611435925
3.6,-3.176524024435366,-22.33601716168165,-40.98049842804678
3.62,-3.2806256879167033,-22.46113203300969,-42.5072989211245
3.64,-3.2579270016404274,-22.097347175036727,-42.203427725941225
3.66,-3.317088035218524,-22.104294574863964,-42.20064342699535
3.68,-3.3489110108653324,-22.075825842654933,-41.24339289572184
3.7,-3.4124219820256005,-22.035405756410064,-42.94569993744369
3.72,-3.4741561154696012,-21.884861569042243,-41.448502784294966
3.74,-3.4402310489157,-22.076296635421944,-41.55956284009267
3.7600000000000002,-3.4906132971207247,-22.041035696673095,-42.14378081862028
3.7800000000000002,-3.5398143656072825,-22.297440453229765,-42.776408020122425
3.8000000000000003,-3.6353007487832745,-22.290829350647865,-42.202376345135924
3.8200000000000003,-3.7013512041795944,-22.077635523442897,-41.7209391026878
3.84,-3.743331671153273,-22.00075210558173,-41.77282543663067
3.86,-3.7942027326684804,-22.07108623835471,-42.33585560953691
3.88,-3.866469209932855,-21.653560992910172,-42.352608841148786
3.9,-3.91730711715321,-22.396939755731292,-42.337559692055414
3.92,-3.9467481780982747,-22.44896309404902,-42.06969466816418
3.94,-3.984774618684427,-22.09122461962485,-42.18353738779443
3.96,-4.008111447146154,-21.852557238582737,-41.76359911423205
3.98,-4.027077575663187,-22.492862852453033,-42.8542469185236
4.0,-4.131682484419638,-22.17942752754652,-42.086477065184255
4.0200000000000005,-4.1707565135297,-21.890668018704655,-42.03299916437419
4.04,-4.176794743263366,-22.139764359655267,-42.34146810452581
4.0600000000000005,-4.18570612586326,-22.20934168614034,-42.601298384246505
4.08,-4.3994136291384205,-22.14385161946649,-42.29298521751325
4.1,-4.354067365300829,-22.129288877264205,-41.709878759243665
4.12,-4.485833343416713,-21.93813273402894,-41.37190269212279
4.14,-4.465574788167967,-21.392651955183336,-41.660610271228684
4.16,-4.508359298017876,-21.876490376439918,-41.84533007523179
4.18,-4.606648220002822,-21.52192087797553,-41.82906185970917
4.2,-4.548136180622033,-22.06034141433775,-42.19070677901658
4.22,-4.647292122864976,-21.872577054211916,-41.547608053051185
4.24,-4.745589216528034,-22.154256508310812,-42.41249087893186
4.26,-4.838960138218211,-21.76796443599673,-42.26809223003023
4.28,-4.815830900322626,-21.99825339771555,-41.62413975971091
4.3,-4.829016652890892,-22.20141610022942,-41.8458189536769
4.32,-4.92884852042397,-22.31900632471017,-42.02081685833734
4.34,-4.845587366061161,-22.047230244496475,-42.27718808335167
4.36,-5.0176482461070355,-21.73166421993721,-42.467801489500935
4.38,-5.119973964319363,-21.868872774414612,-42.61021611236913
4.4,-4.996116879976564,-21.736478311379397,-42.16690111225833
4.42,-5.068626419396335,-21.37563211101743,-42.625079766936835
4.44,-5.138538463724422,-21.686114886837245,-41.26005125305424
4.46,-5.225302586405964,-21.486607043530775,-42.36244270166627
4.48,-5.311061813091116,-21.768934666900655,-43.07779440260673
4.5,-5.30098701089214,-21.872237691143123,-42.38717450047227
4.5200000000000005,-5.2946891031969345,-21.361245740579108,-42.509448586955195
4.54,-5.367428885198857,-21.869689809382713,-41.754503801419446
4.5600000000000005,-5.5083428284505445,-22.29381677342748,-41.75554034175578
4.58,-5.490036377608825,-21.666671478909535,-42.39474370609905
4.6000000000000005,-5.578824520506868,-21.594575953970615,-41.957037619658436
4.62,-5.47793661593169,-21.771488135996233,-42.41274529585234
4.64,-5.579425277239682,-21.544788955185577,-41.763461509937656
4.66,-5.6189826498203175,-21.777776016959095,-41.738398079483915
4.68,-5.764524767665417,-22.137010614378696,-42.17485203278534
4.7,-5.793924317708359,-21.73970508761658,-42.38530417241152
4.72,-5.780525552481786,-21.16390783231576,-42.76609371926846
