timestamp,ax,ay,az,gx,gy,gz,ax_true,ay_true,az_true,gx_true,gy_true,gz_true,pos_north_true,pos_east_true,pos_down_true,vel_north_true,vel_east_true,vel_down_true,qw_true,qx_true,qy_true,qz_true,acc_bias_x_true,acc_bias_y_true,acc_bias_z_true,gyro_bias_x_true,gyro_bias_y_true,gyro_bias_z_true
0.0,500.0317584300069,-0.009086321673913461,9.841128707396338,-0.012662000016539363,0.0004455841399961008,0.19984916254715754,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02,-0.01,0.03,0.001,-0.002,0.0005
0.002,-0.05193177828686753,0.043589767559034216,9.815473886945265,-0.001940085641835469,-0.014332830054388708,0.0014430472420895665,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02000041574047264,-0.009996856828701902,0.029999500107245478,0.0009998462478272845,-0.002000800059994583,0.0005008438878620929
0.004,0.0951756022048451,0.05339225460422809,9.855060539577646,-0.004627593999637524,-0.010981440719525634,0.013466756229603567,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.019995208227139297,-0.00999942907973315,0.030002556475574493,0.0009990663078453812,-0.0020008224276616584,0.0005000324093146469
0.006,0.03102012014681315,0.02378652315265939,9.78119785139797,0.0004230727806731877,-0.025906937100810434,-0.01731371829690411,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.019994398396331187,-0.00999468307381609,0.030007850214976328,0.0009991044625103755,-0.002000492283129132,0.0005002574052128658
0.008,0.059448707976928625,-0.01575092977530175,9.83814989863271,0.018726407745819323,0.001251862938139654,-0.0001961957476734218,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01999565035170189,-0.009997509395882358,0.030006961117823062,0.00099790486645184,-0.002000744549239904,0.0005004694586445126
0.01,0.025585191727155482,-0.06704566688373781,9.844449269386955,-0.012939333210869146,-0.018689175370240042,-0.0029991742984084475,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01999091008686489,-0.009999626840453036,0.03000201862726526,0.0009973513424453844,-0.0020012052984191356,0.0005007520565278615
0.012,-0.03229312841386647,-0.02838448993960116,9.841547359806038,-0.0005018058183027124,-0.011745118499315428,0.01023826922861949,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.019998430096672484,-0.009996722328802072,0.02999608623744688,0.0009973688367725135,-0.002000401280393509,0.0005007438226764705
0.014,-0.02711676333334441,0.03346208898288819,9.877651012265485,0.005151080794249322,-0.004852458327450569,-0.00017344044728453717,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020004535990260162,-0.009996326367539438,0.029997228375122593,0.000997619900486312,-0.00199967639657684,0.0005004653219755818
0.016,0.03052573775255766,-0.10328341368003575,9.935336691319323,0.010990846597509492,0.022636817232543936,0.006563709348854228,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020007223178231455,-0.0099971287674309,0.029998504173791025,0.0009976258079815179,-0.001999313778195219,0.0004996158570588086
0.018000000000000002,0.007032503595151597,-0.017768115470786487,9.808607048916649,-0.007982736919034639,0.0013611632617313552,-0.00998333053063346,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020002600342327294,-0.009992666318205171,0.029999300423435137,0.0009977929948190834,-0.001998600639237834,0.0004990284954550939
0.02,0.04980893854257347,-0.03223776349487598,9.868614174681253,0.004889913747468161,-0.009776524258777342,-0.0043557422356764455,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02000439565287669,-0.009994154415057266,0.029994548848248443,0.0009976449768434145,-0.001998535103127059,0.0004996397887791511
0.022,-0.010651142638463836,-0.0075500025807291845,9.874876683993598,0.0024175839312692627,-0.0001882332866072684,0.018449776122788055,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020009638867456964,-0.009999851346339584,0.029998061749959535,0.0009980747871524407,-0.0019979960248217316,0.0005008283796091751
0.024,-0.036794354114871364,0.011326342625276443,9.819137630755979,0.005760894751091314,-0.007893349353427564,0.008689119385339148,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020007962335573615,-0.0099962354578102,0.030000969991273715,0.0009981806756175543,-0.001997875354179504,0.0005015389405861898
0.026000000000000002,0.025448249500854572,-0.018730534980166476,9.810556378218283,0.007588608170549353,-0.007342996475181518,0.016980325177745396,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020014402408779268,-0.00999388964032877,0.029996170793417577,0.000998650799505741,-0.0019985747868015023,0.0005015041824472474
0.028,-0.06859074028102524,0.007760884803067086,9.86094995228805,0.003154408138805384,0.015695275765374047,-0.004996872013886215,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020018026870687777,-0.009993207961965749,0.029996775246505916,0.000998772545706403,-0.0019984560675173893,0.0005020747204351898
0.03,0.016340814831034084,0.023510304468994103,9.852226859100902,-0.010630289879557556,-0.0169100768498534,-0.014383976824460368,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020020316204886902,-0.009990279646893287,0.02999990833636079,0.0009979643326092891,-0.0019989913689876016,0.0005021512417106412
0.032,-0.008480477284962436,-0.0208207094402039,9.808898981119508,0.015605556549668276,-0.011977761277274488,0.001016998639156136,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020020877186158904,-0.009993523337595669,0.02999746258087918,0.000998605076780198,-0.001999793661796471,0.0005023999661545934
0.034,-0.05861522390266767,0.023934488068049535,9.857710943398788,-0.005391696559603024,0.0038120375413014077,-0.004686084603975995,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020029114414878466,-0.009997007574251806,0.030000876777449906,0.0009998401408167284,-0.0019996510151141064,0.0005030896799887728
0.036000000000000004,0.06068193760745989,-0.03871988698500853,9.894869132747719,0.005061563259818089,-0.0007899704709649813,-0.006698154234114854,0.0,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020025826726837847,-0.00999751674229034,0.03000423398483289,0.000999872030107127,-0.0019997725263860545,0.0005028542798908147
0.038,0.0801340567164481,0.00803043528331113,9.815626091202779,-0.0060238212224555405,0.008131398736751986,0.003092815653544897,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020034884238764067,-0.010001974638554099,0.03000658503041047,0.0009999705627068772,-0.0019990040684909074,0.0005034937384666605
0.04,-0.06460093068080826,-0.04033028400696183,9.894267506661082,-0.006514239073443261,0.02069125244651031,0.0010771658392050795,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02003410700652479,-0.010002585366177126,0.030003672967685018,0.0009991473893227732,-0.0019991539252244154,0.0005039871550326958
0.042,0.06941314560601583,-0.07761315637738055,9.909820660960966,-0.0015604798650481185,-0.009511848429718018,0.006512956307263176,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020033626327080674,-0.010003182090984187,0.03000487223541296,0.0009993344607902492,-0.00199871520608474,0.0005046330420034232
