timestamp,gps_north,gps_east,gps_down,gps_vn,gps_ve,gps_vd,pos_north_true,pos_east_true,pos_down_true,vel_north_true,vel_east_true,vel_down_true
0.0,-0.5101502807379148,0.2423690546468147,-0.6800575558903394,0.09207023694258062,-0.0884080238426666,-0.13889718735163045,0.0,0.0,0.0,0.0,0.0,0.0
0.1,5.460745873683007,-0.02458466219209532,0.1088327901266517,-0.8695470526504011,6.295951000593235,-0.48887072298664647,4.9605735065723895,0.6266661678215213,-1.0313952597646567,-0.7874919316325438,6.233640514335991,-0.3135393438116513
0.2,4.107653762053081,1.1844494327584312,-1.45751749527257,-1.519473511570458,6.034049033747433,-0.21749717554245396,4.842915805643155,1.243449435824274,-1.0626666167821521,-1.5625646450783648,6.085787486784972,-0.31168202571679954
0.3,4.6565407656255795,1.8713219873825122,-0.7399451103385624,-2.3139297540393837,5.896730441920668,-0.26262162510616827,4.648882429441257,1.8406227634233896,-1.0936906572928624,-2.312994780640426,5.84195795509413,-0.30859464106041634
0.4,4.428393982642446,2.3938767490929944,-0.6386071247592564,-2.884572824930107,5.584880994020978,-0.3454549335879901,4.381533400219318,2.4087683705085765,-1.1243449435824273,-3.0269476067956806,5.5059972566349265,-0.30428937433924863
0.5,3.656492550110862,3.4410922990835924,-1.153577786619762,-3.8139031295339128,5.04820363599606,-0.38360713078759634,4.045084971874737,2.938926261462366,-1.1545084971874737,-3.6931636609809133,5.0832036923152595,-0.29878321647415557
0.6,3.861341454715744,3.2362548135712736,-1.949137032617589,-4.36517235666164,4.615060320019826,-0.5034536878994325,3.644843137107058,3.422735529643443,-1.184062276342339,-4.3011363180434445,4.580244969209083,-0.29209789775470646
0.7000000000000001,2.8733838438768395,4.732693492425485,-1.0515332546499,-4.831801964901577,4.062173495130024,-0.2814135196107141,3.1871199487434483,3.852566213878946,-1.2128896457825364,-4.8412774859961365,4.005053046832758,-0.2842598020796553
0.8,3.0974376795310095,4.0698763510977205,-2.277111336289269,-5.388000468701014,3.074746087775898,-0.45563043018740534,2.6791339748949827,4.221639627510076,-1.2408768370508576,-5.305068815955681,3.3666990454051597,-0.27529986283174634
0.9,2.493275462618484,4.6379361016957095,-1.4760453005793799,-5.660871238835872,2.7942365196069003,-0.17075723440279988,2.1288964578253635,4.524135262330098,-1.2679133974894983,-5.685196041593107,2.675250188862998,-0.26525344079778407
1.0,1.7976641559306359,4.448634370027312,-1.690748935704431,-6.057642110074165,1.901071431549152,-0.439276974425203,1.5450849718747373,4.755282581475767,-1.2938926261462367,-5.975664329483111,1.9416110387254666,-0.254160184615763
1.1,1.4879022531730302,4.451889703941472,-1.1036940963317123,-6.081284981660503,1.0422892534246129,-0.04065134648399532,0.9369065729286226,4.911436253643443,-1.3187119948743449,-6.171892821208328,1.1773515226450202,-0.2420638742998068
1.2,0.6318685094118993,4.935065967002548,-1.2782464938874556,-6.41599355314321,0.39427316340406354,-0.1103759673052225,0.31395259764656763,4.990133642141358,-1.3422735529643444,-6.270786876233027,0.39452446973675565,-0.22901224846045415
1.3,-0.9451106723388015,4.370374838013696,-1.377981613840317,-6.333080076903036,-0.3643640907751786,-0.08512836171941324,-0.313952597646567,4.990133642141358,-1.3644843137107059,-6.270786876233027,-0.3945244697367548,-0.2150568159021722
1.4000000000000001,-1.0289712092499426,5.359503033207399,-1.0827869426731573,-6.174221684798125,-1.207348250431465,-0.26354755905783583,-0.9369065729286241,4.911436253643443,-1.3852566213878945,-6.171892821208327,-1.1773515226450222,-0.2002526523416379
1.5,-1.5779216016047282,4.6627036573093,-1.4937157284767595,-6.070290226960104,-2.1616617940516782,-0.11877420163534698,-1.5450849718747368,4.755282581475768,-1.4045084971874737,-5.975664329483112,-1.941611038725466,-0.18465818304904566
1.6,-2.7193339890203214,4.965058011814152,-1.4557340539890993,-5.659405608148,-2.7509531842443367,-0.3005006261382075,-2.1288964578253635,4.524135262330097,-1.4221639627510076,-5.685196041593106,-2.675250188862998,-0.168334952270258
1.7,-1.888768655630098,4.270439691149789,-1.3729850526669594,-5.460320128641631,-3.408017458558657,-0.044850307872261935,-2.6791339748949823,4.221639627510076,-1.4381533400219317,-5.305068815955682,-3.366699045405159,-0.151347380339784
